,Marca,Fecha,Toneladas
361,006 Nova,2019-10-07,11.502792
362,038 Ok Pet,2020-04-07,90.018
363,003 Noble,2020-06-09,59.910955
364,036 Ladysoft,2021-03-26,5966831.32
365,006 Nova,2019-10-01,9.21858
366,006 Nova,2021-05-27,27.01166
367,008 Babysec,2020-08-25,4516659.1348
368,006 Nova,2021-06-02,30.185303
369,037 Cotidian,2020-02-08,198619.92
370,008 Babysec,2020-02-21,3811601.947
371,006 Nova,2020-05-29,21.746481
372,012 Higienol,2020-12-01,9.02441
373,008 Babysec,2021-02-18,5740704.5434
374,006 Nova,2020-12-01,19.146885
375,037 Cotidian,2021-02-05,145035.4752
376,008 Babysec,2020-08-22,4353451.231
377,037 Cotidian,2020-08-03,174805.008
378,008 Babysec,2021-02-24,6098240.1738
379,012 Higienol,2020-05-29,13.887786
380,038 Ok Pet,2020-12-04,75780.036
381,003 Noble,2020-06-12,77.600397
382,012 Higienol,2019-11-28,18.381041
383,038 Ok Pet,2021-06-02,1080.0
384,008 Babysec,2019-12-22,461666.7624
385,006 Nova,2021-06-11,32.400767
386,038 Ok Pet,2020-08-13,47438.658
387,001 Elite,2021-01-03,2.082527
388,006 Nova,2020-12-07,33.78928
389,003 Noble,2020-10-18,0.733848
390,036 Ladysoft,2021-01-27,6413546.376
391,012 Higienol,2020-02-15,11.043843
392,038 Ok Pet,2020-08-19,38052.36
393,008 Babysec,2020-08-10,4860646.329
394,001 Elite,2020-07-01,93.066684
395,037 Cotidian,2020-07-28,24170.5504
396,003 Noble,2020-02-29,86.988968
397,006 Nova,2020-12-13,1.33147
398,037 Cotidian,2020-07-25,159948.1376
399,036 Ladysoft,2021-01-30,8652149.4464
400,036 Ladysoft,2019-12-09,5568157.2944
401,003 Noble,2021-04-22,55.400732
402,012 Higienol,2021-04-05,11.173636
403,037 Cotidian,2021-01-27,487390.88
404,038 Ok Pet,2021-02-18,20491.938
405,001 Elite,2020-12-31,86111.372148
406,012 Higienol,2021-04-02,0.437313
407,008 Babysec,2021-02-15,5252731.9988
408,001 Elite,2020-06-28,0.074086
409,006 Nova,2020-12-10,35.858148
410,012 Higienol,2020-02-12,15.559645
411,008 Babysec,2020-08-13,4356656.4604
412,012 Higienol,2020-10-04,0.113671
413,008 Babysec,2021-02-12,4662901.4728
414,037 Cotidian,2020-07-22,156941.3536
415,036 Ladysoft,2019-12-06,4272378.3472
416,006 Nova,2019-10-19,9.893723
417,036 Ladysoft,2019-12-12,5666138.3776
418,012 Higienol,2021-04-08,11.902801
419,003 Noble,2021-04-19,52.624489
420,003 Noble,2021-04-25,0.141365
421,003 Noble,2020-10-24,73.230148
422,008 Babysec,2019-12-16,3294158.1532
423,036 Ladysoft,2020-08-03,4774615.1344
424,001 Elite,2019-11-06,129.385468
425,012 Higienol,2020-10-10,10.47927
426,036 Ladysoft,2021-02-05,6238748.0544
427,037 Cotidian,2019-12-03,115628.0544
428,038 Ok Pet,2020-02-15,28979.982
429,003 Noble,2020-04-21,54.557698
430,012 Higienol,2020-04-07,8.967654
431,037 Cotidian,2019-11-30,440961.0432
432,008 Babysec,2021-02-09,5251854.6582
433,001 Elite,2021-06-26,52067.705292
434,012 Higienol,2021-04-11,0.046598
435,003 Noble,2019-09-02,40.393375
436,008 Babysec,2020-06-19,4695255.6025
437,038 Ok Pet,2020-08-22,12000.96
438,006 Nova,2020-06-13,29.892819
439,012 Higienol,2020-10-07,13.735455
440,001 Elite,2020-12-28,66235.076537
441,006 Nova,2019-12-10,14.808956
442,037 Cotidian,2021-01-21,200974.5472
443,001 Elite,2020-05-07,104.764366
444,037 Cotidian,2021-01-18,187483.8688
445,008 Babysec,2019-12-19,4116205.6951
446,006 Nova,2020-06-16,30.602948
447,036 Ladysoft,2020-08-06,4626662.7632
448,003 Noble,2020-10-21,61.287159
449,036 Ladysoft,2020-07-31,7831324.496
450,003 Noble,2020-10-27,75.109506
451,001 Elite,2019-11-03,2.807463
452,036 Ladysoft,2021-02-02,6579972.1536
453,006 Nova,2020-06-10,21.015013
454,038 Ok Pet,2020-02-18,1290.978
455,037 Cotidian,2021-01-24,5903.712
456,008 Babysec,2021-02-06,5318940.2876
457,001 Elite,2020-12-25,0.202495
458,036 Ladysoft,2020-08-09,20400.0
459,037 Cotidian,2020-09-24,161022.672
460,008 Babysec,2021-04-11,183798.1318
461,037 Cotidian,2021-03-29,164091.648
462,006 Nova,2020-04-07,21.507938
463,001 Elite,2020-01-06,156.449726
464,012 Higienol,2020-04-13,13.426264
465,001 Elite,2020-08-25,140.479519
466,038 Ok Pet,2020-10-13,188952.534
467,036 Ladysoft,2021-03-29,6714740.9136
468,001 Elite,2021-02-27,210221.704056
469,008 Babysec,2020-02-18,5888761.698438
470,003 Noble,2020-04-24,51.419572
471,008 Babysec,2020-10-10,4463936.0046
472,038 Ok Pet,2021-04-20,2010.96
473,003 Noble,2020-04-30,78.399262
474,037 Cotidian,2021-03-23,109954.8928
