,Localidad,Fecha,Cantidad
352,AMAZONAS,2020-11-02,581.5
353,AMAZONAS,2020-11-03,1669.87
354,AMAZONAS,2020-11-04,488.67
355,AMAZONAS,2020-11-05,1167.22
356,AMAZONAS,2020-11-06,1249.88
357,AMAZONAS,2020-11-07,1656.17
358,AMAZONAS,2020-11-09,841.75
359,AMAZONAS,2020-11-10,912.02
360,AMAZONAS,2020-11-11,669.33
361,AMAZONAS,2020-11-12,801.53
362,AMAZONAS,2020-11-13,1353.38
363,AMAZONAS,2020-11-14,593.0
364,AMAZONAS,2020-11-16,1200.45
365,AMAZONAS,2020-11-17,955.46
366,AMAZONAS,2020-11-18,862.42
367,AMAZONAS,2020-11-19,1306.5
368,AMAZONAS,2020-11-20,1406.13
369,AMAZONAS,2020-11-21,1354.0
370,AMAZONAS,2020-11-23,831.5
371,AMAZONAS,2020-11-24,1137.18
372,AMAZONAS,2020-11-25,944.78
373,AMAZONAS,2020-11-26,488.17
374,AMAZONAS,2020-11-27,1843.02
375,AMAZONAS,2020-11-28,743.63
376,AMAZONAS,2020-11-29,672.0
377,AMAZONAS,2020-11-30,778.92
378,AMAZONAS,2020-12-01,235.0
379,AMAZONAS,2020-12-02,1543.65
380,AMAZONAS,2020-12-03,551.53
381,AMAZONAS,2020-12-04,173.4
382,AMAZONAS,2020-12-05,148.0
383,AMAZONAS,2020-12-07,592.22
384,AMAZONAS,2020-12-08,973.0
385,AMAZONAS,2020-12-09,162.14
386,AMAZONAS,2020-12-10,953.28
387,AMAZONAS,2020-12-11,2750.5
388,AMAZONAS,2020-12-12,84.63
389,AMAZONAS,2020-12-13,1668.0
390,AMAZONAS,2020-12-14,1237.53
391,AMAZONAS,2020-12-15,1090.58
392,AMAZONAS,2020-12-16,1546.67
393,AMAZONAS,2020-12-17,394.23
394,AMAZONAS,2020-12-18,1391.6
395,AMAZONAS,2020-12-19,1946.0
396,AMAZONAS,2020-12-21,927.78
397,AMAZONAS,2020-12-22,1332.35
398,AMAZONAS,2020-12-23,1090.92
399,AMAZONAS,2020-12-26,474.25
400,AMAZONAS,2020-12-28,2579.1
401,AMAZONAS,2020-12-29,1223.83
402,AMAZONAS,2020-12-30,114.25
403,AMAZONAS,2020-12-31,97.08
404,AMAZONAS,2021-01-04,1115.0
405,AMAZONAS,2021-01-05,1977.5
406,AMAZONAS,2021-01-06,1697.0
407,AMAZONAS,2021-01-07,1153.0
408,AMAZONAS,2021-01-08,1232.71
409,AMAZONAS,2021-01-09,1112.29
410,AMAZONAS,2021-01-11,1827.48
411,AMAZONAS,2021-01-12,2358.2
412,AMAZONAS,2021-01-13,2440.58
413,AMAZONAS,2021-01-14,658.23
414,AMAZONAS,2021-01-15,1172.93
415,AMAZONAS,2021-01-16,203.0
416,AMAZONAS,2021-01-18,1234.37
417,AMAZONAS,2021-01-19,836.17
418,AMAZONAS,2021-01-20,767.07
419,AMAZONAS,2021-01-21,1367.0
420,AMAZONAS,2021-01-22,1262.52
